date,team,exp_points,exp_gd,p_champion,p_top4,p_top6,p_relegation,median_position,source
2026-09-14,Arsenal,77.2,36.3,0.5934,0.9751,0.995,0.0,1,market_implied
2026-09-14,Man City,72.8,29.1,0.2892,0.9215,0.9774,0.0001,2,market_implied
2026-09-14,Chelsea,64.8,17.2,0.0553,0.6225,0.8327,0.0004,4,market_implied
2026-09-14,Liverpool,61.7,15.1,0.0301,0.4654,0.7126,0.0011,5,market_implied
2026-09-14,Man United,59.7,12.6,0.0209,0.3553,0.6167,0.0035,6,market_implied
2026-09-14,Bournemouth,54.0,5.0,0.003,0.1292,0.317,0.0245,8,market_implied
2026-09-14,Leeds,53.8,2.0,0.0024,0.1203,0.3016,0.0282,9,market_implied
2026-09-14,Brentford,53.0,2.7,0.0023,0.104,0.268,0.0349,9,market_implied
2026-09-14,Brighton,51.6,2.2,0.0013,0.0793,0.2161,0.0489,10,market_implied
2026-09-14,Newcastle,50.9,-1.3,0.0009,0.0652,0.186,0.0608,10,market_implied
2026-09-14,Everton,49.3,-3.7,0.0004,0.0432,0.1365,0.0923,12,market_implied
2026-09-14,Aston Villa,47.7,-6.9,0.0002,0.0292,0.0965,0.1308,13,market_implied
2026-09-14,Sunderland,47.3,-7.5,0.0004,0.0222,0.0816,0.1426,13,market_implied
2026-09-14,Hull,46.9,-9.7,0.0002,0.0189,0.0727,0.1562,13,market_implied
2026-09-14,Nott'm Forest,45.5,-8.0,0.0,0.0154,0.0579,0.1982,14,market_implied
2026-09-14,Ipswich,45.3,-12.9,0.0,0.0102,0.0482,0.2057,14,market_implied
2026-09-14,Coventry,45.1,-9.4,0.0,0.0154,0.0513,0.2241,14,market_implied
2026-09-14,Crystal Palace,42.9,-16.6,0.0,0.006,0.0239,0.3222,16,market_implied
2026-09-14,Fulham,38.3,-18.4,0.0,0.0012,0.0068,0.5718,18,market_implied
2026-09-14,Tottenham,34.8,-27.9,0.0,0.0005,0.0015,0.7537,19,market_implied
